id	name	type	maintenance_responsibility	park	street	image	neighborhood	council_district	ward	tract	public_works_division	pli_division	police_zone	fire_zone	latitude	longitude
1291198593	Nelson Mandela Playground		Parks - Northeast	Nelson Mandela Peace Park	N EVALINE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Nelson_Mandela_Playground.jpg	Garfield	9	10	42003101700	2	10	5	3-4	40.46602767	-79.94063507
1768404090	Niagara Playground		Parks - Schenley	Niagara Park	NIAGARA ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Niagara_Playground.jpg	South Oakland	3	4	42003040900	3	4	4	2-10	40.43469336	-79.96025539
2024492541	North Ave. Playground		Parks - Northern	Allegheny Commons	W NORTH AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/North_Ave._Playground.jpg	Allegheny Center	1	22	42003562700	1	22	1	1-7	40.45453903	-80.01026779
289346967	Oakwood Playground		Parks - Western	Oakwood Park	DURBIN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Oakwood_Playground.jpg	Oakwood	2	28	42003562800	5	28	6	1-19	40.42604473	-80.06694559
83394355	Olympia Playground		Parks - Southern	Emerald View Park - Olympia Park	OLYMPIA RD	https://tools.wprdc.org/images/pittsburgh/playgrounds/Olympia_Playground.jpg	Mount Washington	2	19	42003190300	5	19	3	4-1	40.43140252	-80.01776418
314635447	Ormsby Playground		Parks - Southern	Ormsby Park	S 22ND ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Ormsby_Playground.jpg	South Side Flats	3	16	42003160900	3	16	3	4-24	40.42938412	-79.9741882
536446250	Osceola Playground		Parks - Northeast	Osceola Park	OSCEOLA ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Osceola_Playground.jpg	Bloomfield	7	8	42003080400	2	8	5	3-1	40.45684189	-79.94231248
862428637	Paul Sciullo Jr. Playground		Parks - Northeast	Paul J. Sciullo II Memorial Park	DARSIE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Paul_Sciullo_Jr._Playground.jpg	Bloomfield	7	8	42003080200	2	8	5	3-1	40.46240433	-79.95312934
698726686	Pauline Playground		Parks - Western	Pauline Park	PAULINE AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Pauline_Playground.jpg	Beechview	4	19	42003192000	5	19	6	4-28	40.40471875	-80.02579492
1540689442	Paulson Playground		Parks - Eastern	Paulson Park	PAULSON AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Paulson_Playground.jpg	Lincoln-Lemington-Belmar	9	12	42003120300	2	12	5	3-15	40.4690264	-79.90038103
56408132	Phillips Playground		Parks - Southern	Phillips Park	SINTON AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Phillips_Playground.jpg	Carrick	4	29	42003290400	3	29	3	4-23	40.38814351	-79.99030865
1898216923	Pool Grove Playground		Parks - Northeast	Highland Park	LAKE DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/Pool_Grove_Playground.jpg	Highland Park	7	11	42003980100	2	11	5	3-9	40.48271127	-79.91030352
426080827	Ream Playground		Parks - Western	Emerald View Park - Ream Park	VIRGINIA AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Ream_Playground.jpg	Mount Washington	2	19	42003190300	5	19	3	4-27	40.4313417	-80.01330242
1328645355	Rhododendron Playground		Parks - Northeast	Highland Park	LAKE DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/Rhododendron_Playground.jpg	Highland Park	7	11	42003980100	2	11	5	3-9	40.47920435	-79.91061715
1692086591	Riverview Playground		Parks - Northern	Riverview Park	RIVERVIEW AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Riverview_Playground.jpg	Perry North	1	26	42003980400	1	26	1	1-15	40.4812863	-80.01789423
672958008	Robert E. WIlliams Playground		Parks - Schenley	Robert E. Williams Park	MILWAUKEE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Robert_E._WIlliams_Playground.jpg	Upper Hill	6	5	42003050600	3	5	2	2-22	40.45443296	-79.95968407
361649029	Roland Lockridge Playground		Parks - Southern	Roland Lockridge Community Park	REVENUE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Roland_Lockridge_Playground.jpg	New Homestead	5	31	42003310300	3	31	4	4-20	40.39395336	-79.92089763
1036798577	Schenley Anderson Playground		Parks - Schenley	Schenley Park	PANTHER HOLLOW RD	https://tools.wprdc.org/images/pittsburgh/playgrounds/Schenley_Anderson_Playground.jpg	Squirrel Hill South	5	14	42003980500	3	14	4	2-8	40.43566362	-79.94729535
1804385194	Schenley Bartlett Playground		Parks - Schenley	Schenley Park	BARTLETT ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Schenley_Bartlett_Playground.jpg	Squirrel Hill South	5	14	42003980500	3	14	4	2-8	40.4333968	-79.93564276
1674194853	Schenley Oval Playground		Parks - Schenley	Schenley Park	OVERLOOK DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/Schenley_Oval_Playground.jpg	Squirrel Hill South	5	14	42003980500	3	14	4	2-8	40.43111059	-79.94504603
1110287402	Schenley Overlook Playground		Parks - Schenley	Schenley Park	OVERLOOK DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/Schenley_Overlook_Playground.jpg	Squirrel Hill South	5	14	42003980500	3	14	4	2-8	40.43215047	-79.94772291
825098356	Sheraden Lower Playground		Parks - Western	Sheraden Park	SURBAN AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Sheraden_Lower_Playground.jpg	Sheraden	2	20	42003562500	5	20	6	1-16	40.45873315	-80.05998691
